,Close Price,High Price,Open Price,Low Price
0,0.12178779642484676,0.121782099529822,0.12073246951508408,0.12150166656993398
1,0.12220853252337625,0.12232083906731932,0.12110624200153317,0.12167262156647538
2,0.12227584443738453,0.12203179144909139,0.12027382466582213,0.12177288195768436
3,0.12175207610178064,0.12191634407464978,0.1212718997786807,0.12126583104130503
4,0.12166121723462925,0.12182199064207838,0.12081381049377489,0.12075865673932043
5,0.12130974094382929,0.12216011217412581,0.12157467447670627,0.12054078564484527
6,0.12118984124537757,0.12149156877015659,0.11994382145015547,0.12023713220378288
7,0.12099208788817385,0.12178954007322344,0.12032233105718504,0.12001349097941465
8,0.12049675854901234,0.12109819211137822,0.11994586276074211,0.11989215570310366
9,0.12045952223203817,0.12062074787079763,0.11931826449520086,0.11987907420986287
10,0.12018002242891254,0.120471678890268,0.11934933489704568,0.11958077019143816
11,0.1198847658200499,0.12010653870598,0.1190532827786426,0.11940552878703276
12,0.1194037140502786,0.11990059923019998,0.1190052061634233,0.11878202842068891
13,0.11914656452162545,0.11958084335844055,0.1184042102702512,0.11849823558448193
14,0.11890996009140958,0.11941916764654119,0.11817503809904015,0.11812012164965155
15,0.11881241181575793,0.11933980003216627,0.11809521596892185,0.11810748139608038
16,0.11878408397969507,0.11914903754111372,0.11794829233282278,0.11813324344362794
17,0.1186054281435195,0.11903868067135996,0.11786239821124837,0.11795342140481804
18,0.1184795654263059,0.11879903624119341,0.1176988461440104,0.11788120540355992
19,0.11822629032034467,0.11863916071499703,0.11760803232548744,0.11759482654967587
20,0.11799318847312056,0.11838769681112118,0.1172880487931078,0.1173504333362082
21,0.1177158765732817,0.11815115281363447,0.11703459309773928,0.11702128511929823
22,0.11750465558886393,0.11794974327042476,0.11678596849226834,0.11682735026348444
23,0.11733003726248657,0.11774260781984688,0.11659463009312535,0.11666469207605942
24,0.1171516597124051,0.11756082504634201,0.11641031653274664,0.11649537633045555
25,0.11699656071480626,0.11736311839796257,0.11625490452238291,0.1163714933752332
26,0.11680247940829638,0.11718780292758646,0.11610516269403198,0.11617195164056585
27,0.11660884941761858,0.11699269496255638,0.11590363709227489,0.11598147235927661
