Date,Open Price,High Price,Low Price,Close Price
2023-01-31T18:30:00.000Z,215.0,216.1,211.0,213.75
2023-02-01T18:30:00.000Z,213.3,215.9,212.0,212.9
2023-02-02T18:30:00.000Z,214.0,214.0,209.4,212.3
2023-02-05T18:30:00.000Z,212.45,212.9,210.05,211.0
2023-02-06T18:30:00.000Z,212.0,212.0,210.0,210.45
2023-02-07T18:30:00.000Z,211.6,212.8,209.85,212.0
2023-02-08T18:30:00.000Z,212.5,212.5,209.55,210.0
2023-02-09T18:30:00.000Z,210.1,212.0,209.85,210.95
2023-02-12T18:30:00.000Z,211.0,211.45,207.85,208.55
2023-02-13T18:30:00.000Z,209.4,210.7,207.55,209.55
2023-02-14T18:30:00.000Z,209.6,211.9,208.2,211.3
2023-02-15T18:30:00.000Z,211.3,214.0,210.8,212.2
2023-02-16T18:30:00.000Z,211.95,213.8,208.0,210.85
2023-02-19T18:30:00.000Z,209.1,210.7,208.7,209.35
2023-02-20T18:30:00.000Z,210.5,212.0,208.7,210.7
2023-02-21T18:30:00.000Z,211.55,212.4,208.75,209.3
2023-02-22T18:30:00.000Z,209.3,210.0,207.55,208.7
2023-02-23T18:30:00.000Z,209.6,210.35,207.0,207.55
2023-02-26T18:30:00.000Z,207.7,208.45,204.1,205.65
2023-02-27T18:30:00.000Z,206.7,209.0,205.35,207.65
2023-02-28T18:30:00.000Z,208.0,210.05,206.85,209.0
2023-03-01T18:30:00.000Z,209.0,209.45,206.5,207.0
2023-03-02T18:30:00.000Z,207.85,208.7,206.25,207.05
2023-03-05T18:30:00.000Z,207.4,209.45,207.1,207.8
2023-03-07T18:30:00.000Z,207.65,210.45,206.2,209.1
2023-03-08T18:30:00.000Z,209.9,209.9,206.55,207.05
2023-03-09T18:30:00.000Z,206.15,206.75,204.1,204.95
2023-03-12T18:30:00.000Z,204.6,205.6,200.8,201.9
2023-03-13T18:30:00.000Z,201.9,204.4,200.0,201.9
2023-03-14T18:30:00.000Z,203.0,204.4,199.65,200.05
2023-03-15T18:30:00.000Z,200.0,202.8,199.65,202.0
2023-03-16T18:30:00.000Z,202.8,205.1,201.15,204.1
2023-03-19T18:30:00.000Z,204.1,205.05,200.35,203.3
2023-03-20T18:30:00.000Z,203.0,204.3,202.0,202.3
2023-03-21T18:30:00.000Z,202.95,209.0,202.65,205.55
2023-03-22T18:30:00.000Z,206.6,207.4,198.85,203.5
2023-03-23T18:30:00.000Z,204.6,206.5,202.25,203.0
2023-03-26T18:30:00.000Z,204.0,205.0,201.55,202.45
2023-03-27T18:30:00.000Z,202.7,202.95,199.05,201.55
2023-03-28T18:30:00.000Z,199.5,204.3,199.5,201.9
2023-03-30T18:30:00.000Z,202.35,206.55,202.3,205.85
2023-04-02T18:30:00.000Z,205.85,209.8,205.7,209.1
2023-04-04T18:30:00.000Z,209.0,211.75,208.3,211.3
2023-04-05T18:30:00.000Z,212.4,212.85,210.2,211.7
2023-04-09T18:30:00.000Z,212.0,212.5,209.5,209.85
2023-04-10T18:30:00.000Z,210.25,210.85,207.8,208.2
2023-04-11T18:30:00.000Z,210.0,210.5,208.65,209.25
2023-04-12T18:30:00.000Z,209.95,210.5,207.4,209.1
2023-04-16T18:30:00.000Z,210.0,210.2,206.2,206.8
2023-04-17T18:30:00.000Z,209.9,213.0,207.1,207.75
2023-04-18T18:30:00.000Z,208.0,210.25,205.0,205.4
2023-04-19T18:30:00.000Z,206.95,207.45,204.75,205.8
2023-04-20T18:30:00.000Z,205.95,206.6,204.1,205.2
2023-04-23T18:30:00.000Z,206.0,214.45,205.5,213.55
2023-04-24T18:30:00.000Z,214.2,216.2,213.0,215.5
2023-04-25T18:30:00.000Z,216.65,217.95,212.3,216.85
2023-04-25T18:30:00.000Z,216.65,217.95,212.3,216.85
2023-04-26T18:30:00.000Z,217.0,219.5,216.45,219.0
2023-04-27T18:30:00.000Z,219.95,221.15,218.5,220.85
2023-05-01T18:30:00.000Z,220.0,227.0,219.7,225.95
2023-05-02T18:30:00.000Z,225.0,227.4,223.9,225.9
2023-05-03T18:30:00.000Z,225.7,226.6,222.8,223.6
2023-05-04T18:30:00.000Z,224.0,225.65,223.15,223.95
2023-05-07T18:30:00.000Z,223.2,228.5,223.2,227.65
2023-05-08T18:30:00.000Z,226.05,229.3,226.05,228.6
2023-05-09T18:30:00.000Z,228.6,230.3,227.6,229.65
2023-05-10T18:30:00.000Z,229.65,230.95,228.5,229.5
2023-05-11T18:30:00.000Z,228.3,231.5,227.6,229.2
2023-05-14T18:30:00.000Z,225.55,227.85,225.05,226.45
2023-05-15T18:30:00.000Z,227.55,227.55,225.6,226.45
2023-05-16T18:30:00.000Z,226.45,226.7,222.4,223.65
2023-05-17T18:30:00.000Z,223.65,225.45,222.0,222.5
2023-05-18T18:30:00.000Z,223.0,223.55,219.6,220.55
2023-05-21T18:30:00.000Z,220.95,222.0,220.25,221.05
2023-05-22T18:30:00.000Z,221.05,222.7,220.2,221.8
2023-05-23T18:30:00.000Z,222.5,223.2,221.2,221.85
2023-05-24T18:30:00.000Z,222.95,227.9,221.3,227.05
2023-05-25T18:30:00.000Z,227.65,229.65,227.0,228.85
2023-05-28T18:30:00.000Z,229.75,232.45,229.0,230.8
2023-05-29T18:30:00.000Z,230.0,231.5,229.25,229.9
